New Mexico Tech Lightning Mapping Array -- analyzed data
Exported on: Mon May  4 13:35:20 2020
Original data file: /Users/sharm261/Desktop/mount/OKLMA_data_2013_cases/20130519/LYLOUT_130519_212000_0600.dat.gz
Analysis started: Thu Aug 29 03:15:48 2013
Analysis finished: Thu Aug 29 06:41:36 2013
Data start time: 05/19/13 21:20:00
Number of seconds analyzed: 600
Location: OK LMA 2002/2005
Data:time (UT sec of day), lat, lon, alt(m), reduced chi^2, # of stations contributed, P(dBW), charge, mask
Number of events:       39389
Flash stats: not saved
*** data ***
 76801.662728055   35.703491  -97.448303   9810.3   0.06  7  1.2400e+01  0  1f84
 76801.662812303   35.709705  -97.445869   8780.6   0.50  8  1.4700e+01  0  3d85
 76801.663005014   35.708061  -97.445122   8500.2   0.18 10  1.4200e+01  0 13d8d
 76801.665423977   35.859879  -97.271347   7585.8   0.63  7  1.5900e+01  3   78d
 76801.666678305   35.868347  -97.343849   7266.8   0.29  7  1.3300e+01  3   78d
 76801.669634855   35.868973  -97.343651   7050.8   0.52  8  1.6100e+01  3  178d
 76801.672318075   35.767410  -97.294930   7087.0   0.31  7  1.3400e+01  0   78d
 76801.672848988   35.766991  -97.296051   7075.1   0.46  7  1.4800e+01  0   78d
 76801.677928462   35.862175  -97.266098   7111.3   0.38  7  1.5600e+01  3   78d
 76801.678541835   35.713757  -97.453918   8306.6   0.62  8  1.4900e+01  0  178d
 76801.681533912   35.853771  -97.326752   7407.2   0.14  7  1.5100e+01  3   78d
 76801.683498740   35.865719  -97.264595   7304.2   0.56  7  1.6500e+01  3   78d
 76801.686033808   35.714767  -97.485069   4368.0   0.35  7  1.1900e+01  3   78d
 76801.686581387   35.851078  -97.322655   7134.3   0.37  7  1.3200e+01  3   78d
 76801.687629485   35.716793  -97.487732   4537.3   0.31  7  1.3800e+01  3   78d
 76801.688851387   35.858944  -97.303169   9336.1   0.36  7  1.7800e+01 -3   78d
 76801.690651683   35.704651  -97.487854   4654.0   0.35  7  1.6000e+01  3   78d
 76801.691209377   35.704010  -97.488358   4322.2   0.28  7  9.7000e+00  3   78d
 76801.692145930   35.872620  -97.266434   7377.6   0.58  7  1.5400e+01  3   78d
 76801.693730234   35.722973  -97.484795   4008.1   0.40  7  1.0000e+01  3   78d
 76801.695246115   35.721828  -97.485031   5136.4   0.23  7  1.1800e+01  3   78d
 76801.697592224   35.724525  -97.485313   4606.4   0.38  7  1.2100e+01  3   78d
 76801.701274928   35.714130  -97.476379   4819.4   0.41  7  1.1000e+01  3   78d
 76801.702133771   35.877598  -97.272125   6853.3   0.33  7  1.5100e+01  3   78d
 76801.703255771   35.698074  -97.496094   4916.1   0.13  7  1.4900e+01  3   78d
 76801.704376532   35.698086  -97.496788   4750.9   0.32  7  1.2700e+01  3   78d
 76801.705174037   35.717113  -97.476143   4372.8   0.62  7  1.1500e+01  3   78d
 76801.705628975   35.698299  -97.498421   5086.0   0.51  7  1.0900e+01  3   78d
 76801.707902968   35.698738  -97.500633   4727.3   0.31  7  1.1400e+01  3   78d
 76801.710709566   35.784069  -97.322968   6484.6   0.64  8  1.6500e+01  3  178d
 76801.714995972   35.701855  -97.505081   4941.7   0.27  7  1.3500e+01  3   78d
 76801.716592910   35.782516  -97.330589   6319.5   0.28  7  1.1000e+01  3   78d
 76801.721488341   35.782585  -97.334000   6812.9   0.33  7  1.4100e+01  3   78d
 76801.722128936   35.874138  -97.237976   9488.1   0.56  8  2.0000e+01 -3 1278c
 76801.726121362   35.874451  -97.325638   7189.1   0.43  7  1.2400e+01  3   78d
 76801.730188344   35.843956  -97.296150   7770.6   0.28  7  1.5700e+01  3   78d
 76801.732825086   35.748775  -97.348770   8045.2   0.14  7  1.5000e+01  0   78d
 76801.734155208   35.699787  -97.576492  10403.9   0.54  8  1.3200e+01  0   f8d
 76801.734372509   35.701649  -97.574478  10385.7   0.71  7  1.4800e+01  0   d8d
 76801.736426833   35.779297  -97.349266   5718.2   0.33  8  1.3600e+01  0  178d
 76801.737002880   35.727718  -97.092072   8329.6   0.16  7  1.6100e+01  0   78d
 76801.740481099   35.777008  -97.350990   6724.3   0.24  7  1.3800e+01  0   78d
 76801.741566548   35.849159  -97.292580   7844.1   0.73  9  2.0500e+01  3  1f8d
 76801.742132172   35.689651  -97.178635   9929.1   0.23  8  1.5100e+01  0 1078d
 76801.742819714   35.773926  -97.354836   5747.9   0.85  7  1.2300e+01  0   78d
 76801.749801191   35.737675  -97.093636   8666.9   0.11  8  1.2400e+01  0  178d
 76801.751252501   35.763432  -97.362656   6859.2   0.23  7  1.3600e+01  0   78d
 76801.756081749   35.689930  -97.170387   9717.4   0.21 11  1.3800e+01  0 13f8d
 76801.757126476   35.781937  -97.275742   7073.5   0.24  8  1.5700e+01  3  178d
 76801.758937851   35.759747  -97.354622   6647.4   0.63  7  1.2100e+01  0   78d
 76801.759585708   35.735615  -97.421013  11303.4   0.28  7  1.5400e+01 -3 11c85
 76801.764528788   35.876972  -97.294777   6634.0   0.99  7  1.3200e+01  3   78d
 76801.766378383   35.734703  -97.370018  10776.1   0.24  9  1.4500e+01 -3  3e8d
 76801.766422001   35.734718  -97.371407  10718.9   0.16  8  1.7400e+01 -3  1f89
 76801.768208201   35.782616  -97.267838   6753.6   0.26  7  1.2300e+01  3   78d
 76801.769714810   35.690189  -97.162582   9580.0   0.26 10  1.3100e+01  0  3f8d
 76801.770765138   35.871799  -97.302696   7190.8   0.49  8  2.0700e+01  3  178d
 76801.774889998   35.860321  -97.406792   7710.3   0.77  7  1.5300e+01  3   78d
 76801.775372261   35.770790  -97.312271   9328.2   0.06  8  1.3400e+01 -3  178d
 76801.780868433   35.789417  -97.265594   7284.3   0.69  7  1.1300e+01  3   78d
 76801.781889337   35.849144  -97.400078   7909.1   0.45  7  1.4900e+01  3   78d
 76801.784526708   35.879963  -97.307800   7172.3   0.47  7  1.4000e+01  3   78d
 76801.784958133   35.848400  -97.401619   7541.7   0.54  7  1.3400e+01  3   78d
 76801.788162970   35.889107  -97.300072   6719.3   0.26  8  1.5300e+01  3  178d
 76801.790153630   35.847874  -97.407402   7233.7   0.40  7  1.3600e+01  3   78d
 76801.790728809   35.846222  -97.408791   7175.3   0.49  9  1.9000e+01  3  1f8d
 76801.791339465   35.846104  -97.409927   7157.7   0.44  7  1.4100e+01  3   78d
 76801.791407339   35.860142  -97.321823  11214.9   0.27  8  1.4000e+01 -3 10f85
 76801.795702092   35.840828  -97.413048   7019.5   0.52  7  1.3600e+01  3   78d
 76801.799114230   35.857048  -97.305054   9618.8   0.19  8  1.6100e+01 -3 11c8d
 76801.799286059   35.801689  -97.276100   7489.8   0.55  7  1.3700e+01  3   b8d
 76801.799606011   35.838604  -97.411774   7682.0   0.28  8  1.3900e+01  3 1078d
 76801.800047345   35.882435  -97.306435   9623.9   0.82  7  1.6900e+01 -3  198d
 76801.800251762   35.851910  -97.325676   8975.8   0.37 10  1.9500e+01 -3  3f8d
