datetime,lat,lon,unknown,Power,kA,strokes
2013-05-19 21:14:09,35.899,-97.259,128.1,26.1,kA,1
2013-05-19 21:14:24,35.698,-97.42200000000001,64.9,15.3,kA,1
2013-05-19 21:14:58,35.68,-97.413,-135.7,-19.0,kA,1
2013-05-19 21:15:34,35.715,-97.329,-173.7,-25.5,kA,1
2013-05-19 21:15:55,35.757,-97.355,-143.9,-20.4,kA,4
2013-05-19 21:16:00,35.705,-97.395,-114.0,-15.3,kA,1
2013-05-19 21:16:29,35.645,-97.046,-144.4,-20.5,kA,1
2013-05-19 21:16:34,35.732,-97.26,-117.5,-15.9,kA,3
2013-05-19 21:16:46,35.830999999999996,-97.434,151.5,30.1,kA,1
2013-05-19 21:17:11,35.746,-97.344,-158.5,-22.9,kA,1
2013-05-19 21:17:16,35.615,-97.493,87.7,19.2,kA,1
2013-05-19 21:17:44,35.805,-97.473,135.7,27.4,kA,1
2013-05-19 21:17:56,35.673,-97.169,-129.2,-17.9,kA,1
2013-05-19 21:17:58,35.717,-97.33,129.2,26.3,kA,2
2013-05-19 21:18:01,35.754,-97.32600000000001,-125.7,-17.3,kA,2
2013-05-19 21:18:03,35.816,-97.461,367.8,67.1,kA,1
2013-05-19 21:18:20,35.611,-97.445,-183.0,-27.1,kA,1
2013-05-19 21:18:23,35.628,-97.215,-119.3,-16.2,kA,1
2013-05-19 21:18:45,35.711,-97.36,-228.7,-34.9,kA,1
2013-05-19 21:19:41,35.78,-97.478,130.4,26.5,kA,1
2013-05-19 21:19:46,35.678000000000004,-97.27600000000001,-117.5,-15.9,kA,1
2013-05-19 21:19:57,35.674,-97.488,-114.0,-15.3,kA,2
2013-05-19 21:20:01,35.646,-97.42399999999999,-135.1,-18.9,kA,1
2013-05-19 21:20:22,35.554,-97.25200000000001,146.8,29.3,kA,2
2013-05-19 21:20:41,35.777,-97.45700000000001,109.4,22.9,kA,1
2013-05-19 21:21:10,35.631,-97.198,81.9,18.2,kA,1
2013-05-19 21:21:11,35.578,-97.197,88.9,19.4,kA,1
2013-05-19 21:21:13,35.628,-97.096,63.7,15.1,kA,2
2013-05-19 21:22:44,35.882,-97.311,355.0,64.9,kA,2
2013-05-19 21:23:18,35.646,-97.48,89.5,19.5,kA,2
2013-05-19 21:24:10,35.688,-97.477,-118.1,-16.0,kA,2
2013-05-19 21:24:18,35.869,-97.234,87.7,19.2,kA,1
2013-05-19 21:24:23,35.726,-97.492,124.0,25.4,kA,1
2013-05-19 21:24:38,35.639,-97.475,-129.8,-18.0,kA,1
2013-05-19 21:24:50,35.779,-97.59700000000001,-120.5,-16.4,kA,1
2013-05-19 21:25:06,35.732,-97.33200000000001,80.7,18.0,kA,1
2013-05-19 21:25:51,35.808,-97.321,-250.9,-38.7,kA,1
2013-05-19 21:26:19,35.912,-97.302,263.7,49.3,kA,1
2013-05-19 21:26:29,35.721,-97.495,-145.6,-20.7,kA,1
2013-05-19 21:26:29,35.87,-97.31,112.3,23.4,kA,1
2013-05-19 21:26:52,35.691,-97.478,140.4,28.2,kA,1
2013-05-19 21:27:01,35.773,-97.31,-130.4,-18.1,kA,1
2013-05-19 21:27:19,35.726,-97.50200000000001,200.6,38.5,kA,1
2013-05-19 21:27:21,35.639,-97.051,123.4,25.3,kA,1
2013-05-19 21:28:45,35.668,-97.139,-211.1,-31.9,kA,1
2013-05-19 21:29:02,35.681999999999995,-97.155,107.6,22.6,kA,1
2013-05-19 21:29:04,35.698,-97.44200000000001,-112.9,-15.1,kA,1
2013-05-19 21:29:14,35.809,-97.33200000000001,148.5,29.6,kA,1
2013-05-19 21:29:36,35.73,-97.334,80.1,17.9,kA,1
2013-05-19 21:30:12,35.618,-97.12100000000001,-152.0,-21.8,kA,2
2013-05-19 21:30:15,35.64,-97.35799999999999,-120.5,-16.4,kA,1
2013-05-19 21:31:07,35.713,-97.375,-140.9,-19.9,kA,1
2013-05-19 21:31:30,35.575,-97.12700000000001,94.7,20.4,kA,1
2013-05-19 21:31:49,35.679,-97.339,177.2,34.5,kA,1
2013-05-19 21:32:56,35.736,-97.389,-131.0,-18.2,kA,1
2013-05-19 21:33:23,35.718,-97.03299999999999,66.1,15.5,kA,1
2013-05-19 21:35:05,35.781,-97.318,292.4,54.2,kA,1
2013-05-19 21:36:20,35.771,-97.088,-176.0,-25.9,kA,1
2013-05-19 21:37:03,35.738,-97.40899999999999,-163.7,-23.8,kA,1
2013-05-19 21:37:17,35.704,-97.165,76.0,17.2,kA,2
2013-05-19 21:37:20,35.864000000000004,-97.32600000000001,81.3,18.1,kA,1
2013-05-19 21:37:22,35.745,-97.331,70.8,16.3,kA,2
2013-05-19 21:38:49,35.789,-97.319,1266.7,220.8,kA,1
2013-05-19 21:39:54,35.775999999999996,-97.32700000000001,-140.9,-19.9,kA,1
2013-05-19 21:40:13,35.741,-97.32799999999999,109.4,22.9,kA,2
2013-05-19 21:40:48,35.715,-97.03299999999999,-112.3,-15.0,kA,1
2013-05-19 21:41:31,35.675,-97.13,-187.1,-27.8,kA,1
2013-05-19 21:42:14,35.75,-97.105,-115.2,-15.5,kA,1
2013-05-19 21:42:56,35.726,-97.286,-192.4,-28.7,kA,3
2013-05-19 21:44:06,35.821,-97.236,470.8,84.7,kA,2
2013-05-19 21:44:41,35.634,-97.045,125.1,25.6,kA,1
2013-05-19 21:45:21,35.779,-97.094,-139.8,-19.7,kA,1
2013-05-19 21:45:23,35.836999999999996,-97.242,288.3,53.5,kA,1
2013-05-19 21:46:05,35.836,-96.993,-222.8,-33.9,kA,1
2013-05-19 21:46:38,35.764,-97.18299999999999,-132.2,-18.4,kA,1
2013-05-19 21:48:38,35.719,-97.286,176.6,34.4,kA,1
2013-05-19 21:48:39,35.858000000000004,-97.195,477.2,85.8,kA,1
2013-05-19 21:48:52,35.721,-97.181,-118.1,-16.0,kA,1
2013-05-19 21:49:02,35.778,-97.057,139.8,28.1,kA,1
2013-05-19 21:49:16,35.796,-97.042,-112.3,-15.0,kA,1
2013-05-19 21:49:23,35.846,-97.177,596.5,106.2,kA,1
2013-05-19 21:50:42,35.736999999999995,-97.116,-126.9,-17.5,kA,1
2013-05-19 21:51:10,35.857,-97.166,486.5,87.4,kA,1
2013-05-19 21:51:12,35.794000000000004,-96.98,-146.2,-20.8,kA,1
2013-05-19 21:51:20,35.759,-97.103,-167.8,-24.5,kA,2
2013-05-19 21:51:37,35.867,-97.179,196.5,37.8,kA,2
2013-05-19 21:51:41,35.66,-97.209,-128.1,-17.7,kA,1
2013-05-19 21:51:44,35.745,-97.118,-131.6,-18.3,kA,1
2013-05-19 21:52:24,35.806999999999995,-97.10700000000001,721.1,127.5,kA,2
2013-05-19 21:52:26,35.819,-96.99,1274.9,222.2,kA,1
2013-05-19 21:52:47,35.782,-97.256,496.5,89.1,kA,1
2013-05-19 21:52:50,35.775,-97.23899999999999,149.7,29.8,kA,2
2013-05-19 21:52:57,35.824,-97.125,576.6,102.8,kA,1
2013-05-19 21:53:11,35.887,-97.166,131.0,26.6,kA,2
2013-05-19 21:53:20,35.811,-97.09100000000001,677.2,120.0,kA,1
2013-05-19 21:53:42,35.669000000000004,-97.01799999999999,-115.2,-15.5,kA,1
2013-05-19 21:54:02,35.871,-97.17399999999999,352.0,64.4,kA,2
2013-05-19 21:54:04,35.876999999999995,-97.095,456.7,82.3,kA,1
2013-05-19 21:54:14,35.82,-97.13799999999999,-119.3,-16.2,kA,1
2013-05-19 21:54:27,35.88,-97.072,329.2,60.5,kA,1
2013-05-19 21:54:37,35.876,-97.11200000000001,213.5,40.7,kA,2
2013-05-19 21:54:43,35.836999999999996,-97.095,-140.9,-19.9,kA,1
2013-05-19 21:54:44,35.836,-96.93,-164.9,-24.0,kA,2
2013-05-19 21:54:52,35.718,-97.14200000000001,132.2,26.8,kA,1
2013-05-19 21:54:55,35.797,-97.10700000000001,94.7,20.4,kA,2
2013-05-19 21:54:56,35.748000000000005,-97.167,63.2,15.0,kA,1
2013-05-19 21:54:58,35.81,-97.06,867.3,152.5,kA,1
2013-05-19 21:55:08,35.825,-97.084,630.4,112.0,kA,3
2013-05-19 21:55:15,35.794000000000004,-97.06299999999999,521.1,93.3,kA,1
2013-05-19 21:55:24,35.813,-97.074,347.4,63.6,kA,2
2013-05-19 21:55:32,35.863,-97.089,239.2,45.1,kA,2
2013-05-19 21:55:51,35.888000000000005,-97.145,423.4,76.6,kA,1
2013-05-19 21:55:52,35.819,-97.044,559.6,99.9,kA,1
2013-05-19 21:56:00,35.81,-97.07799999999999,-136.8,-19.2,kA,2
2013-05-19 21:56:04,35.885999999999996,-97.084,519.3,93.0,kA,1
2013-05-19 21:56:14,35.839,-97.104,253.2,47.5,kA,1
2013-05-19 21:56:18,35.888000000000005,-97.035,580.1,103.4,kA,1
2013-05-19 21:56:24,35.88,-97.09100000000001,376.6,68.6,kA,1
2013-05-19 21:56:26,35.811,-97.037,694.7,123.0,kA,1
2013-05-19 21:56:29,35.823,-97.061,383.6,69.8,kA,1
2013-05-19 21:56:36,35.879,-97.057,543.9,97.2,kA,3
2013-05-19 21:56:42,35.881,-97.075,390.1,70.9,kA,1
2013-05-19 21:56:43,35.861,-97.072,241.5,45.5,kA,1
2013-05-19 21:56:58,35.87,-97.124,319.3,58.8,kA,1
2013-05-19 21:57:10,35.855,-97.09700000000001,85.4,18.8,kA,1
2013-05-19 21:57:10,35.764,-97.094,72.5,16.6,kA,1
2013-05-19 21:57:12,35.817,-97.021,1085.4,189.8,kA,1
2013-05-19 21:57:14,35.849000000000004,-97.06200000000001,395.3,71.8,kA,1
2013-05-19 21:57:20,35.882,-97.09299999999999,439.2,79.3,kA,2
2013-05-19 21:57:43,35.8,-97.064,-134.5,-18.8,kA,1
2013-05-19 21:57:45,35.876999999999995,-97.044,275.4,51.3,kA,1
2013-05-19 21:57:55,35.895,-97.00399999999999,292.4,54.2,kA,1
2013-05-19 21:58:04,35.825,-97.06200000000001,509.9,91.4,kA,1
2013-05-19 21:58:06,35.885999999999996,-97.095,424.0,76.7,kA,1
2013-05-19 21:58:16,35.867,-97.055,-128.7,-17.8,kA,1
2013-05-19 21:58:28,35.86,-97.055,-135.7,-19.0,kA,1
2013-05-19 21:58:29,35.845,-97.056,380.7,69.3,kA,1
2013-05-19 21:58:57,35.834,-97.024,531.0,95.0,kA,1
2013-05-19 21:58:59,35.87,-97.04700000000001,-135.1,-18.9,kA,1
2013-05-19 21:59:07,35.883,-97.135,325.1,59.8,kA,1
2013-05-19 21:59:15,35.835,-97.02600000000001,418.1,75.7,kA,1
2013-05-19 21:59:24,35.768,-96.975,818.1,144.1,kA,1
2013-05-19 21:59:50,35.785,-96.963,803.5,141.6,kA,1
2013-05-19 21:59:51,35.858000000000004,-97.00399999999999,643.9,114.3,kA,1
2013-05-19 22:00:07,35.829,-96.985,404.1,73.3,kA,2
2013-05-19 22:00:17,35.904,-97.01899999999999,574.9,102.5,kA,1
2013-05-19 22:00:20,35.778,-96.97,584.8,104.2,kA,1
2013-05-19 22:00:28,35.787,-97.025,721.1,127.5,kA,2
2013-05-19 22:00:53,35.926,-96.99799999999999,304.1,56.2,kA,1
2013-05-19 22:00:56,35.789,-96.964,332.2,61.0,kA,1
2013-05-19 22:01:10,35.84,-96.961,143.9,28.8,kA,1
2013-05-19 22:01:32,35.818000000000005,-96.96,857.3,150.8,kA,2
2013-05-19 22:01:36,35.705,-96.969,-121.6,-16.6,kA,1
2013-05-19 22:01:45,35.809,-96.94200000000001,364.3,66.5,kA,1
2013-05-19 22:01:58,35.828,-96.99799999999999,540.9,96.7,kA,1
2013-05-19 22:02:06,35.81,-96.944,905.8,159.1,kA,1
2013-05-19 22:02:22,35.891,-97.084,266.7,49.8,kA,1
2013-05-19 22:02:37,35.946999999999996,-96.991,93.0,20.1,kA,1
2013-05-19 22:02:39,35.805,-96.949,298.2,55.2,kA,1
2013-05-19 22:02:42,35.759,-97.046,-114.0,-15.3,kA,1
2013-05-19 22:02:55,35.819,-96.912,709.4,125.5,kA,3
2013-05-19 22:03:00,35.919000000000004,-97.03,384.8,70.0,kA,1
2013-05-19 22:03:16,35.929,-96.916,639.2,113.5,kA,1
2013-05-19 22:03:27,35.827,-96.98100000000001,222.2,42.2,kA,3
2013-05-19 22:03:33,35.815,-96.93,736.8,130.2,kA,1
2013-05-19 22:03:37,35.835,-96.979,881.9,155.0,kA,1
2013-05-19 22:03:40,35.876,-96.80799999999999,-116.4,-15.7,kA,2
2013-05-19 22:03:42,35.825,-96.947,563.2,100.5,kA,1
2013-05-19 22:03:45,35.844,-96.962,455.6,82.1,kA,2
2013-05-19 22:04:10,35.952,-97.01,367.8,67.1,kA,1
2013-05-19 22:04:15,35.802,-96.895,907.6,159.4,kA,1
